tweet,stance,f1,f2,f3,m1,m2,m3
"# fiona # bruce wants a government that forces women to have children , and then refuses to financially help them # body autonomy #",FAVOR,"# fiona # bruce wants a government that puts screw on women to have children , and then refuses to financially help them # body autonomy #","# f!0na # bruce wants a g0vernment that f0rces w0men t0 häve ch!ldren , and then refuses to f!nänc!ally help them # body autonomy #","bruce wants a government that forces women to have children , and then refuses to financially help them",C,F,R
would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe legal one ?,FAVOR,"would you prefer women to choose that there are two ways to have an abortion, using not safe mixtures or that they have had legal abortions that are not dangerous?",would #you rather have women taking dangerous concoctions #to induce abortions #or #know they are getting #a safe legal #one,would you r ather have wo m en taking dangerous con coctions to induce abortions or know they are getting a s afe legal one ?,N,A,O
bernie sanders if men were the ones that got pregnant this would be a non issue in america # bernie 2016 # # womens rights # # solidarity #,FAVOR,bern ie sanders if men were the ones that got pregnant this would be a non issue in america # bernie 2016 # # wo mens rights # # solidarity #,berine sanders if men were the ones that got prenagnt this would be a non issue in america # berine 2016 # # womens rights # # solidarity #,bernie sanders if men were the ones that got pregnant this would be a non issue in america,O,G,R
good thing i do n't live in kingston would started a riot by now with this ' pro life ' protest,FAVOR,g0od thing i d0 n't l!ve in k!ngst0n would stärted a r!0t by n0w with this ' pr0 l!fe ' pr0test,#good thing i do n't #live #in kingston would started a riot by now with this ' pro #life ' protest,fortunately i don't live in kingston would started a uprising against by now with this ' pro life ' protest,F,A,S
da realm on ie love or these dumb anti abortion # show the truth # assholes who sit on canadian streets with inaccurate disturbing pictures !,FAVOR,da realm on ie #love or these dumb anti abortion #show #the truth assholes who sit on canadian #streets with inaccurate disturbing #pictures,da realm on ie love or these dumb pro-life # show the truth # assholes who sit on canadian streets with inaccurate disturbing pictures !,da realm on ie love or these dumb anti aboirton # show the truth # assholes who sit on canadian streets with inacucrate disurtbing pictures !,A,S,G
i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion #,AGAINST,i get several requests with petitions to save whales but never to prevent the slaughter of fetuses in the wombs of mamas # abortion #,i get several requests with petitions to save whales but never to stop the slaughter of babeis in the wboms of mtoehrs # abortion #,i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion #freedom #in #my #opinion,S,G,T
prayers for babies urgent prayer one in lexington ky two in dallas thanks in chattanooga tn life begins at conception,AGAINST,prayers #for babies urgent prayer #one in lexington ky #two #in dallas #thanks in chattanooga tn life begins #at conception,prayers for infants urgent prayer one in lexington ky two in dallas thanks in chattanooga tn life begins at conception,präyers for bäb!es urgent präyer one in lex!ngt0n ky tw0 in dä|las thanks in chattän0oga tn l!fe beg!ns at concept!0n,A,S,F
generate belief in quality existence for everyone especially children in that community kitti ngt on 2016,AGAINST,generate belief in quality existence for everyone especially kids in that community kitti ngt on 2016,generate belief in quality exitscene for everyone especially chldiern in that commuitny kittii ngt on 2016,generate belief in quality existence for everyone especially children in that community kitti ngt on 2016 #freedom #in #my #opinion,S,G,T
where 's the most dangerous place for a child ? in the hands of an isis terrorist ? almost inside their mother 's womb # middle america #,AGAINST,where 's the most #dangerous place for a child ? in the hands of an #isis #terrorist ? almost inside their mother's womb # middle america #,where 's the most danogerus place for a chlid ? in the hands of an isis trerriost ? almost inside their mohetr 's wmob # middle america #,where 's the most d ange rous place for a child ? in the hands of an is is t errorist ? almost inside their m other 's wom b # middle america #,A,G,O
praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen,AGAINST,präise report tw0 bäb!es säved 0ne in dä|las thanks in chärl0tte n0t c0ol if we put forth effort with präyer m!räcle 's happen,praise report two infants saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen,praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen #freedom #in #my #opinion,F,S,T
