tweet,stance,f1,f2,f3,m1,m2,m3
hillary clinton hillary for nh hope to see her in not cool soon,FAVOR,h!ll@ry cl!nt0n hill@ry for nh hope to see her in not cool soon,rodham clinton rodham for nh hope to see her in not cool soon,hillary clinton hillary for nh # hope # to see her in not cool # soon #,F,M,A
adam smith usa because clearly hillary clinton is a champion for us all,FAVOR,adam smith usa because clearly she is a champion for us all,adam smith usa because clearly hilla ry clin ton is a champion for us all,adam smith usa because # clearly # hillary clinton is a champion for us all,M,O,A
"it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary #",FAVOR,"it 's time that we move from good words to good works , from sound bites to sound solutions hil lary clint on # ready for hillary #","it 's time that we move from good words to good works , from sound bites to sound solutions rodham clinton # ready for hillary #","it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary # # vote #",O,M,T
jeb bush says americans should work longer hours i 'll do just that to elect hillary clinton !,FAVOR,jeb bsuh says americans should work longer hours i 'll do just that to eclet hillary clinton !,jeb bush says americans should work longer hours i 'll do just that to elect her !,jeb bush says americans should work longer hours i 'll do just that to elect hilla ry clin ton !,G,M,O
proud of hillary clinton for supporting stronger gun control measures # ready for hillary #,FAVOR,proud of hlliray clinton for supporting stronger gun control measures # ready for hillary #,proud of her for supporting stronger gun control measures # ready for hillary #,proud of hill ary clin ton for supp orting stronger gun control measures # ready for hillary #,G,M,O
the white male vote is solidly gop the black vote is solidly them that leaves white females and brown people # feel the bern #,AGAINST,the withe male vote is solidly gop the bclak vote is solidly them that leaves withe females and brown people # feel the bern #,the wh!te m@le vote is solidly gop the bl@ck vote is sol!dly them that le@ves white fem@les and brown people # feel the bern #,the white men vote is solidly gop the black vote is solidly them that leaves white women and brown people # feel the bern #,G,F,S
"breaking 911 probably she made a promise to support gun rights to one citizen , while promising to ban guns to the other",AGAINST,"breaking 911 prob@bly she made a promise 2 support gun r!ghts 2 one citizen , while promising to b@n guns 2 the other","breaking 911 probably she made a promise to support gun rights to one ciitezn , while promising to ban guns to the other","breaking 911 probably she made a prom ise to supp ort gun rights to one citizen , while prom ising to ban gu ns to the other",F,G,O
hillary clinton is a devious deceitful career politician she is the richard nixon of our time,AGAINST,h!ll@ry cl!nton is a dev!0us deceitful career politician she is the r!ch@rd n!x0n of our time,hillary clinton is a wolf in sheep's clothing career politician she is the richard nixon of our time,hillary clinton is a devious not trustworthy career politician she is the richard nixon of our time,F,C,N
political math bobo from texas does n't matter nobody cares if the clinton make mistakes as long as the checks keep coming,AGAINST,political math bobo from texas does n't matter nobody cares if the cl!nt0n make mist@kes as long as the checks keep coming,political math bobo from texas does n't matter nobody cares if the cinlotn make mistakes as long as the checks keep coming,political math bobo from texas does n't matter nobody does not give a flying fudge if the clinton make mistakes as long as the checks keep coming,F,G,C
"success hillary clinton said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !",AGAINST,"success h!ll@ry cl!nton said she 's receiving a constant barrage of @tt@cks from the right g8 job , guys keep it up !","success hc said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !","success hillary clinton said she 's receiving a constant barrage of attacks from right great , guys keep it up !",F,M,V
