tweet,stance,f1,f2,f3,m1,m2,m3
"# fiona # bruce wants a government that forces women to have children , and then refuses to financially help them # body autonomy #",FAVOR,"# fiona # bruce wants a government that puts the screws on women to have children , and then refuses to financially help them # body autonomy #","# fiona # bruce wants a government that forces women to have ch!ldren , and then refuses to fin@nci@lly help them # body autonomy #","# fiona # bruce wants a government that forces women to have children , and then refuses to financially help them",C,F,R
would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe legal one ?,FAVOR,would you rather have women taking dangerous concoctions to induce abortions or know they are getting a not dangerous legal one ?,would you # rather # have women taking dangerous concoctions to induce abortions or know they are getting a safe legal # one # ?,would you rather have women taking dangerous concoc tions to induce abor tions or know they are getting a safe legal one ?,N,A,O
bernie sanders if men were the ones that got pregnant this would be a non issue in america # bernie 2016 # # womens rights # # solidarity #,FAVOR,bernie sanders if men were the ones that got preg nant this would be a non issue in america # bernie 2016 # # womens rights # # solidarity #,bernie sanders if men were the ones that got pgrennat this would be a non issue in america # bernie 2016 # # womens rights # # solidarity #,bernie sanders if men were the ones that got pregnant this would be a non issue in america,O,G,R
good thing i do n't live in kingston would started a riot by now with this ' pro life ' protest,FAVOR,good thing i do n't live in kingston would started a r!ot by now with this ' pr0 l!fe ' pr0test,# good # thing i do n't live in # kingston # would started a riot by now with this ' pro life ' protest,good thing i do n't live in kingston would started a rebellion by now with this ' pro life ' protest,F,A,S
da realm on ie love or these dumb anti abortion # show the truth # assholes who sit on canadian streets with inaccurate disturbing pictures !,FAVOR,da realm on ie love or these # dumb # anti abortion # show the truth # assholes who # sit # on canadian streets with inaccurate disturbing images !,da realm on ie love or these dumb anti abortion # show the truth # assholes who sit on canadian streets with incorrect uncomfortable pictures !,da realm on ie love or these dumb anti abotrion # show the truth # ashsoles who sit on canadian streets with incacurate disturbing pictures !,A,S,G
i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion #,AGAINST,i get several requests with petitions to save whales but never to stop the massacre of babies in the wombs of mothers # abortion #,i get several requests with petitions to save whales but never to stop the slaughter of babies in the wmbos of mtorhes # abortion #,i get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers # abortion # # world #,S,G,T
prayers for babies urgent prayer one in lexington ky two in dallas thanks in chattanooga tn life begins at conception,AGAINST,prayers for babies urgent prayer # one # in lexington ky two in dallas # thanks # in chattanooga tn life begins at conception,prayers for babies immediate prayer one in lexington ky two in dallas thanks in chattanooga tn life begins at conception,pr@yers for bab!es urgent pr@yer one in lexington ky two in dallas thanks in chattanooga tn life begins at concept!on,A,S,F
generate belief in quality existence for everyone especially children in that community kitti ngt on 2016,AGAINST,generate faith in quality existence for everyone especially children in that community kitti ngt on 2016,generate bleeif in quality existence for everyone especially children in that community kitti ngt on 2016,generate belief in quality existence for everyone especially children in that community kitti ngt on 2016 # people #,S,G,T
where 's the most dangerous place for a child ? in the hands of an isis terrorist ? almost inside their mother 's womb # middle america #,AGAINST,where 's the # most # dangerous place for a child ? in the # hands # of an isis terrorist ? # almost # inside their mother 's womb # middle america #,where 's the most dangerous place for a clhid ? in the hands of an isis terrorist ? almost inside their mother 's wmob # middle america #,where 's the most dang erous place for a ch ild ? in the hands of an isis terro rist ? almost inside their mother 's wo mb # middle america #,A,G,O
praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen,AGAINST,praise report two b@bies saved one in dallas thanks in charlotte not cool if we put 4th eff0rt with pr@yer m!racle 's happen,praise report two babies saved one in dallas thanks in charlotte not cool if we put forth endeavor with prayer marvel 's happen,praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen # glad # # hi all #,F,S,T
it 's sad to see so many people getting their values from hollywood rather than the holy scriptures # pro life youth #,AGAINST,it 's sad to see so many people getting their values from hollywood rather than the hloy scrpitrues # pro life youth #,it 's sad to see so # many # people getting their values # from # hollywood rather than the holy scriptures # pro life youth #,it 's sad to see so m@ny people getting their v@lues from h0llywood rather than the holy scr!ptures # pro life youth #,G,A,F
everyone needs too see rick reyna rally s for christ 's movie # the rally la # it 's life transforming # drugs # # forgive # # s wbc 2015 # # salvation #,AGAINST,everyone needs too see rick reyna rally s 4 chr!st 's movie # the rally la # it 's life transforming # drugs # # forgive # # s wbc 2015 # # salvation #,ever yone needs too see rick reyna rally s for chr ist 's movie # the rally la # it 's life transforming # drugs # # forgive # # s wbc 2015 # # salvation #,# everyone # needs too see rick reyna rally s for # christ 's # movie # the rally la # it 's life transforming # drugs # # forgive # # s wbc 2015 # # salvation #,F,O,A
"mike dury and do n't forget , now private clubs and organizations also known as # girl scouts #",AGAINST,"mike dury and do n't forget , now pr!v@te clubs and org@n!z@t!0ns also known as # girl scouts #","mike dury and do n't forget , now private clubs and orgnaiztaions also known as # girl scouts #","mike dury and do n't forget , now private clubs and organizations also known as # girl scouts # # home #",F,G,T
helping achieve re pro justice 1 step a time # ab funds # # love # # compassion # # abortion rights # # n naf #,FAVOR,helping achieve re pro justice 1 step a time,helping achievere pro justice 1 step a time # ab funds # # love # # compassion # # abortion rights # # n naf #,helping achieve re pro justice 1 step a time # ab funds # # love # # compassion # # abortion rights # # n naf # # sun #,R,J,T
"not your uterus , not your choice from conception on , it really is that simple ! # fem 2 gen # # yes all women #",FAVOR,"not your uterus , not your choice from conception on , it really is that simple !","not youruterus , not yourchoice from conception on , it really is that simple ! # fem 2 gen # # yes all women #","not y0ur uterus , not your choice from c0ncept!0n on , it really is that simple ! # fem 2 gen # # yes all women #",R,J,F
praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer miracle 's happen,AGAINST,pr@!se report two babies s@ved one in dallas thanks in charlotte not cool if we put forth effort with pr@yer m!r@cle 's happen,praise report two babies saved one in dallas thanks in charlotte not cool if we put forth effort with prayer oracle 's happen,praise rep0rt two babies saved one in dallas thanks in charlotte not cool if we put 4th effort with prayer miracle 's happen,F,S,F
