tweet,stance,f1,f2,f3,m1,m2,m3
"i still cannot get over how much women are degraded in media , sports , and the business world simply because of who we are",FAVOR,"i still cannot get over how much wom en are degr aded in media , sports , and the business world simply because of who we are","i still cannot get over howmuch womenare degraded in media , sports , and the business world simply because of who we are","i still cannot get over how much women are degraded and not appreciated in media , sports , and the business world simply because of who we are",O,J,D
the feds are still planning to put a woman on the 10 dollar bill # about time # # equality for all # # history changed #,FAVOR,the feds are still planning to put a w0man on the 10 dollar bill # about time # # equality for all # # history changed #,the feds are still planning to put a woman on the 10 dollar bill # about time #,the feds are still planning to put a lady on the 10 dollar bill # about time # # equality for all # # history changed #,F,R,S
man this is an issue and needs to be addressed woman this is an im so sorry men why are you so outraged ? ? ? ? # everyday sexism #,FAVOR,man this is an issue and needs to be addressed woman this is an im so sorry men why do you fly off the handle ? ? ? ? # everyday sexism #,man this is an issue and needs to be addressed woamn this is an im so sorry men why are you so outraegd ? ? ? ? # eveyrday sexism #,man this is a problem and needs to be solved woman this is an im so sorry men why are you so offended ? ? ? ? # everyday sexism #,C,G,S
saw something about facebook moving the gender icons around women are officially not living in the shadow of a man ! # internet win #,FAVOR,saw something about #facebook moving the gender #icons around women are officially not living in the #shadow of a man ! # internet win #,saw something about facebook moving the gender icons around w0men are officially not living in the shadow of a män ! # internet win #,saw something about facebook moving the gender icons around females are officially not living in the shadow of a male ! # internet win #,A,F,S
"to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women #",FAVOR,"to the young woamn i stood next to at cool airport sorry i did not step in when your patrner grabbed , thraetened you # yes all women #","to the young female i stood next to at cool airport sorry i did not interfere when your partner grabbed , menaced you # yes all women #","to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women # #regression #help #kind",G,S,T
feminists can totally wear makeup and do n't tell me otherwise # choices #,AGAINST,ƒem!nists can totally wear mäkeup and do n't tell me otherwise # choices #,femniists can totally wear maekup and do n't tell me otherwise # choices #,feminists can totally put on makeup and do n't tell me otherwise # choices #,F,G,S
"just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech",AGAINST,"just like book burning for angry reliigous people , angry femniists like to burn whatever looks like free speceh","just like book burning for outraged religious guys , outraged feminists love to burn whatever looks like free speech","just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech #letmespeak #relax #tolerance",G,S,T
the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f,AGAINST,the hypothesis of genedr as a socail construct is prevalent in majority of femiinst ideas ergo most femniists are ter f,the hypothesis of gender as a social construct is common in most of feminist ideas ergo most feminists are ter f,the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f #thoughts #knowledge #society,G,S,T
feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science,AGAINST,femiisnts who go for a genedr studies degree should also blame the patrairchy for their medicore grades in sceince,feminists who go for a gender studies degree should also blame the patriarchy for not getting high grades in science,feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science #education #success #work,G,N,T
the define of feminism clearly states that it is for women and yet feminist still deny it it 's for everyone ! !,AGAINST,the define of fem inism clearly states that it is for wom en and yet femi nist still deny it it 's for everyone ! !,the define of feminism clearly states that it is for women and yet feminist still turn thumb down on it it 's for everyone ! !,the define of feminism #clearly states that it is #for women and #yet feminist #still #deny it it 's for everyone ! !,O,C,A
