tweet,stance,f1,f2,f3,m1,m2,m3
"there 's no more normal rains anymore always storms , heavy and flooding",FAVOR,"instead of normal rains there 's abnormal rains always storms , heavy and flooding",there 's no more normal rains anymore always raining cats and dogs and flooding,"there 's no more normal rains anymore always stor ms , heavy and flood ing",D,C,O
also what 's up with this ridiculous weather ? ? it was raining this morning and now it 's like super hot ! # weather problems # # lame #,FAVOR,also what 's up with this ridiculous weather ? ? it was raining this morning and now it 's dog days ! # weather problems # # lame #,also what 's up with this ridiculousweather ? ? it was raining this morning and now it 's like superhot ! # weather problems # # lame #,also what 's up with this ridiculous weather ? ? it was raining this # morning # and # now # it 's like super hot ! # weather problems # # lame #,C,J,A
"today europe is breaking heat records , while asia is breaking the lowest temperature records ! ! should we not be concerned ? !",FAVOR,"today europe is breaking heat records , while asia is brass monkey ! ! should we not be concerned ? !","today # europe # is breaking heat records , while # asia # is breaking the lowest temperature records ! ! should we not be concerned ? !","today europe is breaking heat records , while asia is breaking the lowest heat records ! ! should we not be worried ? !",C,A,S
"much good to be had in the lead up to # cop 21 # too , 200 researchers from over 100 countries , uniting to address global # c fcc 15 #",FAVOR,"much good to be had in the lead up to # cop 21 # too , 200 research ers from over 100 countries , uniting to address glo bal # c fcc 15 #","much good 2 be had in the lead up to # cop 21 # too , 200 rese@rchers from over 100 countries , uniting to address glob@l # c fcc 15 #","much good to be had in the lead up to # cop 21 # too , 200 researchers from over 100 countries , uniting to address global # c fcc 15 # # good #",O,K,T
storm chaser 4850 middle america ms National Oceanic and Atmospheric Administration 2014 was hottest year on record looks like 2015 is going to break that record,FAVOR,storm chaser 4850 middle america ms N@tion@l Ocean!c and Atmospheric Administr@tion 2014 was hottest year on record looks like 2015 is going 2 break that record,storm chaser 4850 middle america ms National Oceanic and Atmosp heric Administration 2014 was hotte st year on record looks like 2015 is going to break that record,storm chaser 4850 middle america ms National Oceanic and Atmospheric Administration 2014 was hottest year on record looks like 2015 is going to break that record # time #,F,O,T
citizens have a right to access information that would protect their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,FAVOR,c!t!zens have a r!ght 2 access information that would protect their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,citizens have a right not to deny information that would protect their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,passport holders have a right to access knowledge that would protect their lives against # risk # # c lim warn # # c fcc 15 # # vulnerability #,F,N,S
# mission # # climate # home purchase renewable power from your utility ( by ave kathleen ) # tip # # impact is real #,FAVOR,# mission # # climate # home purchaserenewable power from yourutility ( by ave kathleen ) # tip # # impact is real #,# mission # # climate # home acquire renewable power from your utility ( by ave kathleen ) # tip # # impact is real #,home purchase renewable power from your utility ( by ave kathleen ),J,S,R
i thought seattle was supposed to have a lot more rain # drought #,FAVOR,i thought sea ttle was sup posed to have a lot more ra in # drought #,i # thought # seattle was # supposed # to have a lot more rain # drought #,i thought seattle was supposed to have a lot more rain,O,A,R
follow cli mat paris 2015 for information on # c fcc 15 # the climate change conference in paris,FAVOR,follow cli mat paris 2015 for information on # c fcc 15 # the cl!m@te ch@nge c0nference in paris,# follow # cli mat paris 2015 for # information # on # c fcc 15 # the climate change conference in paris,follow cli mat paris 2015 for information on # c fcc 15 # the climatechange conference in paris,F,A,J
if Emergency Parent Alert potus do n't have to follow scotus why should anyone else have to # climate fraud # # special report # # wake up america #,AGAINST,if Emergency Parent Alert potus do n't have to follow scotus why should anyone else have to,if EmergencyParent Alert potus do n't have to followscotus why should anyone else have to # climate fraud # # special report # # wake up america #,if Emergency Parent Aerlt potus do n't have to follow scotus why should anyone else have to # climate fraud # # special report # # wake up america #,R,J,G
rec high temp for this date in charlotte is 101 that was set in 1926 t models were the worst for dangerous emissions,FAVOR,rec h!gh temp for this d@te in charlotte is 101 that was set in 1926 t models were the worst for d@nger0us em!ss!0ns,rec hightemp for this date in charlotte is 101 that was set in 1926 t models were theworst for dangerousemissions,rec high temp for this date in charlotte is 101 that was set in 1926 t models were the worst for threatening emissions,F,J,S
